127.0.0.1 - - [14/Jan/2023:00:18:04 -0300] "GET / HTTP/1.1" 404 763
0:0:0:0:0:0:0:1 - - [14/Jan/2023:00:18:08 -0300] "GET /gerenciador/entrada?acao=ListaEmpresas HTTP/1.1" 200 622
0:0:0:0:0:0:0:1 - - [14/Jan/2023:00:18:08 -0300] "GET /favicon.ico HTTP/1.1" 404 774
0:0:0:0:0:0:0:1 - - [14/Jan/2023:00:18:15 -0300] "GET /gerenciador/entrada?acao=LoginForm HTTP/1.1" 200 428
0:0:0:0:0:0:0:1 - - [14/Jan/2023:00:18:25 -0300] "POST /gerenciador/entrada HTTP/1.1" 500 1869
0:0:0:0:0:0:0:1 - - [14/Jan/2023:00:23:26 -0300] "GET /gerenciador/entrada?acao=LoginForm HTTP/1.1" 200 427
0:0:0:0:0:0:0:1 - - [14/Jan/2023:00:23:29 -0300] "POST /gerenciador/entrada HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [14/Jan/2023:00:23:29 -0300] "GET /gerenciador/entrada?acao=ListaEmpresas HTTP/1.1" 200 622
0:0:0:0:0:0:0:1 - - [14/Jan/2023:00:23:32 -0300] "GET /gerenciador/entrada?acao=LoginForm HTTP/1.1" 200 427
0:0:0:0:0:0:0:1 - - [14/Jan/2023:00:33:11 -0300] "GET /gerenciador/entrada?acao=LoginForm HTTP/1.1" 200 427
0:0:0:0:0:0:0:1 - - [14/Jan/2023:00:33:16 -0300] "POST /gerenciador/entrada HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [14/Jan/2023:00:33:16 -0300] "GET /gerenciador/entrada?acao=LoginForm HTTP/1.1" 200 427
0:0:0:0:0:0:0:1 - - [14/Jan/2023:00:33:52 -0300] "POST /gerenciador/entrada HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [14/Jan/2023:00:33:52 -0300] "GET /gerenciador/entrada?acao=ListaEmpresas HTTP/1.1" 200 622
0:0:0:0:0:0:0:1 - - [14/Jan/2023:00:33:55 -0300] "GET /gerenciador/entrada?acao=ListaEmpresas HTTP/1.1" 200 622
